FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
113287,10967,1444,0,519,445,163758,15852,2125,139,395,383,55,154
148774,24415,915,276,0,206,235011,38512,2462,201,3,808,52,154
100560,8999,1622,105,212,0,166720,14180,1741,270,291,250,51,154
94298,5928,4047,619,139,0,144514,10065,4740,535,202,311,49,154
92420,8968,0,29,92,496,138171,16031,1189,214,356,620,53,154
24139,2612,3459,278,546,0,28481,3025,2949,187,353,247,51,154
25180,4225,6358,1075,539,340,22313,4388,4586,510,477,823,60,154
145677,21113,1685,422,948,678,227899,33745,1851,267,827,736,53,154
119608,8323,2034,397,0,218,189640,13950,4010,325,241,462,50,154
33034,1620,186,0,0,0,54068,3216,529,146,158,233,42,154
78031,5933,1512,133,0,310,130146,10801,1954,125,509,302,48,154
37659,8870,0,0,0,42,62517,14556,1190,5,0,583,45,154
175442,5533,636,36,565,778,291762,8869,2544,113,653,922,53,154
44349,5212,0,146,349,58,72371,9527,299,205,407,469,43,154
33604,6765,68,26,150,752,35797,7731,604,249,131,915,51,154
246341,23480,624,225,132,0,424482,38962,1220,266,244,667,57,154
73983,11289,1760,322,740,798,121028,19053,2765,455,911,1269,48,154
322450,27388,10614,492,1051,781,424385,32302,5340,649,721,777,135,154
66276,8361,23806,1905,0,293,99846,14834,28069,1983,465,565,52,154
98888,11186,1568,0,52,0,153497,18482,2002,76,328,639,51,154
146842,30176,127,0,265,789,220967,47634,1351,91,315,1076,53,154
100114,5615,2269,527,805,432,148002,8738,1502,326,995,776,54,154
19983,4160,53,0,336,237,23854,4861,2662,167,407,591,53,154
136151,7670,0,0,972,225,204703,10333,908,28,761,747,60,154
47933,2781,3048,329,198,683,79690,4369,3111,391,286,476,46,154
57005,22194,1339,312,209,0,94687,35517,1208,210,162,387,44,154
99746,10724,0,102,352,631,161553,18161,378,134,420,645,47,154
174380,11761,1090,510,0,0,280650,19233,2262,292,90,316,59,154
58872,4587,1607,0,5,266,100784,7283,2321,232,422,745,46,154
720314,29162,0,435,61,0,1242872,47088,1266,321,332,597,72,154
133803,11582,1890,435,0,0,210003,18616,3018,237,276,287,53,154
117538,11272,686,0,811,534,175164,18428,1050,169,590,588,56,154
153769,14893,214,508,339,0,221297,24152,879,343,274,400,56,154
299600,22284,1586,419,422,0,494871,35392,1493,295,516,638,60,154
164293,18151,1443,449,272,0,263390,28760,2819,399,370,376,56,154
27830,1890,5672,233,885,0,41242,3800,6465,295,437,218,43,154
287925,25290,0,23,579,323,463773,41129,2090,45,458,460,60,154
61651,24304,214,143,0,494,95589,42739,1144,73,155,668,46,154
95673,5563,3298,738,808,0,143456,10365,2150,389,454,741,49,154
121004,16348,2501,574,230,677,191087,24665,2005,439,385,623,50,154
260211,24584,416,419,323,419,391264,36007,1374,223,530,623,60,154
172755,10551,2004,551,634,0,265973,17355,1976,326,448,379,58,154
197356,21318,4140,713,434,50,314873,34789,4167,343,426,457,55,154
56659,7835,0,688,698,0,52836,6301,1933,326,951,38,78,154
