FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
53064,7158,1209,225,0,595,50052,6005,914,304,3143,1218,68,156
49641,2195,0,37,262,0,84956,5367,850,141,3400,319,41,156
76658,3789,732,173,680,57,130322,7185,973,181,1699,189,45,156
64266,3670,974,0,0,525,112550,6410,1623,76,2092,509,43,156
25741,6047,0,0,470,282,44925,11942,963,102,5196,568,35,157
128356,6286,3277,277,0,287,225872,9728,2135,332,2315,248,50,157
137255,5523,1050,0,845,0,237021,10062,1071,125,2886,284,49,157
136262,17300,0,0,0,760,234079,29354,802,202,1803,691,49,157
151839,7365,2360,261,0,226,246472,11346,2225,308,847,400,52,157
77624,8380,0,204,0,0,124205,12032,783,369,137,445,47,157
19168,1498,878,40,608,0,34960,3525,1244,64,1613,0,32,157
73039,2508,1188,218,321,0,130682,4126,815,112,3301,0,45,158
114026,8769,909,495,0,0,189095,14452,1636,389,1756,192,51,158
270063,12443,1230,219,1550,32,458872,19772,1726,160,3257,1033,54,158
199726,13631,110,87,72,568,344448,21872,1087,208,550,720,52,158
178936,21462,1197,458,814,432,290395,33546,941,273,2102,603,57,158
107022,4087,1523,330,115,646,178526,5502,1924,177,1279,1631,49,158
23509,2217,0,472,196,313,40064,3458,143,501,909,984,36,158
133004,7742,136,74,299,0,221656,12247,562,211,1642,549,49,159
30037,3690,0,126,23,563,54589,7642,197,256,1666,610,37,159
50924,5616,0,1,0,487,83352,9361,980,92,1092,550,42,159
77103,11077,31,289,0,0,136119,18927,296,355,1833,64,43,159
111033,9548,90,0,850,635,185669,15472,1216,83,3583,1124,48,160
41711,1832,1241,266,1020,0,70851,3816,1276,230,3554,100,39,160
124488,19709,0,0,104,0,207267,31911,103,0,2028,396,50,160
35672,20619,0,140,687,0,63904,36797,998,100,3285,0,38,160
38415,4542,1164,205,972,0,67404,9044,1081,296,3599,18,38,160
38117,5243,1184,183,0,401,68100,9059,1817,83,1409,525,39,160
116692,11446,263,95,330,768,198558,19759,629,222,2057,869,47,160
145449,6130,0,0,1160,62,252912,10368,1045,119,2985,528,49,161
130147,4417,556,0,562,0,232702,6631,480,127,3503,427,50,161
27665,1715,1797,308,358,40,48007,3776,2014,156,2417,105,36,161
62226,3415,46,233,0,1084,102005,4937,733,214,739,1059,45,161
160708,13118,1184,173,293,78,267266,20179,1789,269,1771,708,52,161
