FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
36996,13089,5575,36331,314272,1393,71364,25415,7066,45042,384570,5602,36,156
118204,3360,23331,2200,1372,648,238739,5466,29654,2689,1921,968,47,156
45816,23374,5676,35764,358249,2685,82087,43744,7056,44294,437326,8066,39,156
69060,5221,29151,2715,0,435,153286,10662,36349,3152,0,758,41,156
198045,12895,9666,1134,0,130,418176,21980,11812,1040,257,581,49,157
84075,3933,4147,574,574,733,182241,7969,5498,401,1886,1042,38,158
125781,13834,5536,804,2074,0,278339,23026,7026,958,8056,992,44,158
227493,20316,4744,976,360,582,459599,32884,5665,810,918,600,55,159
49608,28354,4362,30721,290746,0,98468,54069,5604,37765,359054,3396,38,159
155152,22038,14626,1219,0,0,339435,42773,18270,1404,78,0,45,159
357126,20079,24921,2260,922,190,764640,35208,30724,2680,1763,706,52,159
312529,11484,30405,3847,10357,582,657822,19000,35310,3234,11388,1797,54,159
278547,15810,16998,1356,48,10,605637,28220,20399,1664,280,261,58,160
149565,12109,52273,4855,463,331,323414,21493,64258,5722,481,416,47,160
144660,8860,23790,2323,255,0,320214,14189,29182,2688,377,642,44,160
51238,26946,6942,1069,2515,1407,101864,52563,9124,1068,2760,1190,39,160
170533,5632,2542,537,145,30,344233,8467,2855,368,188,395,50,160
51423,4879,1647,130,0,184,116725,8887,1992,31,200,249,40,160
189412,8086,8571,859,403,0,405824,15151,10601,850,778,9,51,161
383052,27355,12010,1495,1600,0,731924,47959,13942,1279,1935,81,54,161
48088,24892,5583,33994,310498,3676,92066,45888,6650,41338,372886,12114,38,161
228447,10519,10366,1341,1503,1024,449889,20393,12817,1255,2276,1450,51,161
46185,6702,6570,43246,373833,9768,82423,13512,8006,53066,449809,12605,36,161
213148,12205,10845,1212,1978,298,431031,20163,12122,1259,2413,888,51,162
84604,4917,7864,762,840,1042,177329,9182,10086,791,1420,864,43,162
38377,12568,5401,30535,314997,0,68972,25571,6733,37543,394173,2037,37,162
95586,7750,43369,3864,114,0,195413,15529,53462,4953,71,100,45,163
42577,13816,5361,31749,333253,3834,78302,26264,6349,38039,407030,10028,37,163
136939,8520,33318,3052,361,0,293137,15263,41178,3883,191,268,43,163
109876,9507,2685,166,0,0,247090,16781,3327,91,81,349,43,163
88399,9415,3399,555,0,0,187775,17010,4316,432,387,167,44,163
282328,13212,19339,1806,0,0,611179,23989,22900,2249,156,229,51,163
69079,2343,1305,250,1,0,135887,4655,1725,213,0,9,40,163
122371,5092,4050,762,0,153,262749,8955,4827,751,87,446,47,164
32067,9510,4191,26202,224800,768,57819,17475,5343,32513,276969,9069,37,164
224236,15151,3849,438,0,0,435167,27724,4880,592,54,107,49,164
256693,12073,36124,3409,595,247,493249,22478,42800,3869,795,702,51,164
64389,3136,3222,412,672,238,137954,5332,3896,253,565,408,41,165
135039,10902,2835,237,28,255,296747,17732,3009,254,258,196,45,165
37723,14881,4399,33619,276772,2404,64008,28032,5631,41155,338274,9709,39,165
94812,13101,71709,6093,1050,0,189426,23834,84736,6955,1762,353,41,165
288843,8622,21297,2077,405,213,582502,17458,26184,2301,745,353,52,165
