FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
126280,4245,157,166,204,453,245751,8368,95,165,321,943,51,155
93588,8496,0,180,355,0,171769,14635,64,101,327,93,45,155
98626,23547,222,0,193,0,208531,43155,333,27,286,336,43,155
177177,10651,444,214,0,1239,356019,20941,331,178,59,1133,53,155
176154,5068,0,82,42,856,396350,8644,2,55,249,1262,47,155
50506,8017,228,204,457,0,104246,14443,292,90,288,118,39,155
135985,10989,187,138,220,286,304036,20171,303,70,139,627,44,155
359668,19098,0,0,144,0,671865,28890,251,116,273,785,61,155
105919,27247,267,102,982,0,200608,49931,159,63,677,78,45,155
35724,3714,177,115,432,454,82605,7911,233,62,350,1314,32,155
109173,10636,276,397,528,351,203269,19489,166,296,229,1017,49,155
113436,43839,10,180,214,502,203813,76161,154,136,254,902,47,155
40306,2173,150,159,0,427,94545,4490,185,103,6,703,37,155
119439,10719,27,64,159,118,243615,18330,132,70,308,324,47,155
431461,24909,258,247,228,291,836784,45673,156,226,169,881,55,156
236559,6084,0,265,862,426,509915,10584,146,163,1019,768,51,156
63774,6361,475,285,118,0,140685,10823,340,198,148,531,43,156
104938,4026,0,477,163,361,212935,8309,111,365,118,577,40,156
80472,7449,322,100,859,414,166734,13172,318,115,828,886,44,156
106944,10549,0,471,0,0,221358,18159,62,383,0,121,46,156
116232,25252,174,75,247,0,226370,47250,116,85,441,995,47,156
101214,6870,187,106,304,0,219090,13878,106,55,317,1149,44,156
133564,8956,4,0,16,0,276759,15332,0,0,281,0,44,156
289534,20476,288,0,0,228,580060,37011,405,106,233,1438,59,156
147394,16003,273,66,828,417,313186,28460,150,121,1143,736,45,156
103407,5883,0,129,201,445,220574,11723,98,95,151,1144,43,156
331110,12267,12,117,294,0,642378,22220,149,147,304,541,52,156
252822,31024,222,132,310,408,494307,55453,343,61,163,1254,53,156
117820,7288,0,124,691,0,242509,11995,70,154,540,303,51,156
