FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
98733,3472,1452,115,1020,202,210737,7773,3654,177,1324,1362,44,156
108375,12117,6087,925,46,237,213041,21818,5023,680,538,882,49,156
348421,28810,1977,0,10,0,672559,50653,3944,360,288,103,55,156
200464,6156,322,469,471,880,453517,13022,1661,252,310,1484,43,157
83262,3931,3669,280,367,0,174157,8153,2668,433,382,440,40,157
66403,4029,0,22,423,231,140523,7497,1713,47,447,1197,38,157
165876,7843,0,207,340,1009,323535,15380,1691,333,511,1391,44,157
104983,5296,688,342,805,0,213361,9770,2964,705,800,693,44,157
220822,16117,3703,85,0,19,464727,28053,5418,225,246,1310,51,157
86397,15462,877,222,315,1407,177387,29409,1781,277,259,2505,41,157
341293,10633,4162,387,0,930,671835,18161,5634,586,667,1250,52,158
284605,18903,2796,133,157,0,566341,33828,5021,510,474,1159,53,158
227584,14154,0,433,736,736,520908,27295,2293,406,831,1114,47,158
164358,16360,3889,436,528,585,338454,30996,6048,526,335,684,48,159
68353,3421,937,112,0,210,142665,8514,1577,198,0,1224,39,159
208860,7186,3282,157,256,0,442363,14730,5035,291,579,631,53,159
250381,10701,5632,708,1657,0,501916,18291,4594,523,1095,775,49,159
109399,7629,4312,388,804,39,222023,14146,3627,238,877,481,43,159
48664,2410,2083,0,802,0,107146,4572,3916,216,503,1686,38,160
167853,5421,2860,0,0,1039,356730,9205,2640,157,443,1528,51,160
94660,6816,2460,124,505,1102,194361,12930,2539,203,807,1757,41,160
283975,12880,577,246,0,565,639366,27281,3028,448,234,1505,47,160
132252,11613,52,0,387,0,281527,24110,2506,100,455,310,46,160
69855,5800,4443,309,0,840,160930,10428,3757,261,57,1730,41,161
166183,25987,4711,439,808,724,353039,48662,4879,342,493,1095,53,161
120522,6075,2832,88,396,597,258515,12473,3362,41,569,2334,42,161
98310,7003,2013,298,604,480,217932,15213,3157,221,807,1181,42,161
65041,5365,0,432,324,0,147517,11087,1245,545,799,866,41,161
172648,6625,1405,462,0,0,371124,13449,3221,457,697,253,48,161
