FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
91191,8870,3548,146,387,630,154974,16092,3365,61,630,765,46,155
71286,11175,1439,131,399,0,137807,16618,2260,47,659,409,44,155
82263,17446,0,120,412,1107,140931,28448,603,39,850,1021,49,155
80770,11750,2327,148,652,0,138050,19470,2283,127,689,856,50,155
113500,4613,0,70,985,755,208164,7633,1779,34,1117,826,47,155
175326,7941,3289,187,49,0,306720,12196,2223,65,349,540,52,155
108753,6747,3115,98,558,0,182610,10011,4023,38,357,160,50,155
63758,8451,4636,82,16,325,107984,15202,12988,53,108,674,43,155
37124,10834,926,208,507,363,65809,19126,1723,77,823,727,39,155
14583,3981,1036,165,0,566,20807,6490,1658,55,0,470,36,155
101228,8466,1259,159,10,810,165170,12757,1584,44,106,701,52,155
31806,8926,2154,92,0,0,50597,15432,2751,4,57,621,42,155
261313,36787,2831,83,0,606,330943,50561,4442,52,185,1728,80,155
108870,7094,870,85,482,0,193566,11741,1290,16,727,702,48,155
74041,11289,2003,170,402,105,119918,18595,3125,74,350,206,48,155
96607,19798,1933,171,757,94,164266,30055,2246,67,600,911,51,155
141205,6470,1597,184,860,0,248489,9726,3731,44,588,806,56,155
101004,9154,2839,61,534,117,171227,16141,4348,22,803,612,50,155
61070,6515,881,127,403,0,105333,11185,2724,71,686,754,46,155
197530,18475,3853,98,0,1451,211288,23880,3063,44,113,1253,79,155
120836,6941,1296,114,0,99,207109,12134,1959,82,254,271,50,155
69646,4149,1891,65,151,352,124078,5381,1795,42,346,510,47,155
76018,9363,575,159,0,312,130603,15515,1891,54,301,579,50,155
135789,8482,2627,80,117,257,224990,14628,2845,36,441,1106,55,155
61271,14064,621,145,266,0,105439,23812,1684,63,319,246,45,155
113519,7657,2999,117,629,447,202582,12591,2713,37,782,810,50,155
114240,9296,3486,180,71,231,207756,15490,4250,95,150,472,50,155
72881,20949,0,145,555,5,118140,37115,1353,101,504,393,46,155
211403,17054,295,153,805,0,375139,28279,3349,85,1129,51,57,155
154957,23613,2760,213,22,0,243891,38961,2987,114,631,562,58,155
159237,27021,123,130,309,0,283382,45638,1167,14,298,177,51,155
132144,32315,1858,199,631,0,229447,55274,2005,105,701,1011,58,155
95268,23269,683,196,0,214,178946,39448,2290,104,280,259,45,155
103955,4515,4865,36,175,760,184181,8687,3947,2,210,702,46,155
138606,6123,0,205,38,833,255216,10104,279,74,261,1132,48,155
113288,3921,0,155,509,851,199907,7466,1373,74,641,1742,50,155
276702,15695,0,238,948,0,496463,26796,2610,89,642,488,61,155
35700,4411,221,206,145,651,72216,7892,3254,60,253,1041,40,155
247419,19261,2787,48,205,904,409126,33193,2536,36,211,1291,60,155
49941,4277,115,208,885,1073,83400,7166,3483,85,929,1105,46,155
56463,7853,2091,200,397,427,102297,14176,2536,67,353,752,45,155
70613,8490,0,206,0,0,118074,14554,1361,123,121,479,47,155
139536,4131,1400,156,616,0,255087,6461,2086,50,941,260,50,155
92554,13828,4469,99,881,893,164699,24151,4049,58,1110,468,45,155
84308,6129,2425,230,144,374,143368,10312,2648,126,275,916,47,155
55170,17403,672,123,0,521,92409,29821,1566,47,61,634,43,155
66584,11607,1999,149,0,0,98646,20969,3382,68,21,608,47,155
149740,13679,995,203,699,796,275927,23597,3170,113,583,779,49,155
31209,3170,2479,159,0,133,53494,6110,2566,105,141,258,41,155
65433,7336,413,134,866,0,114482,13569,3076,51,986,293,44,155
202445,17867,968,246,942,1021,358309,28181,2546,82,857,1444,62,155
234209,12789,3664,108,539,51,417435,21073,3721,73,641,563,55,155
11405,1407,0,230,0,0,21204,3060,91,142,567,334,29,155
36141,7268,1831,269,285,0,70685,13468,2483,115,640,620,39,155
87101,2876,2268,131,330,1270,154857,5605,1878,54,525,1141,49,155
158462,10359,3365,164,226,0,278650,18794,2944,74,522,190,51,155
208217,44022,3712,178,732,679,349449,71935,3011,86,710,894,51,155
39363,1381,2142,161,549,0,70392,3155,2932,47,844,0,40,155
81068,7697,221,130,483,383,148189,13745,3165,51,538,608,45,155
26786,11060,558,102,592,1049,44143,18566,1725,32,595,892,43,155
171750,19793,4482,93,576,410,288294,32305,5341,27,672,1045,57,155
60985,5030,2138,237,184,0,100532,8088,2970,112,355,400,45,155
107642,5829,1079,142,150,258,195703,8091,2646,73,353,377,50,156
30153,4200,0,93,0,146,55409,7070,803,11,61,560,38,156
117452,5127,2393,175,92,418,207011,8419,3418,65,314,1092,47,156
68048,5421,1074,115,449,45,122737,9933,2359,93,415,799,43,156
167649,9830,390,115,486,0,294324,16351,1527,67,650,686,60,156
189980,17365,2180,152,768,34,336156,30114,3307,60,748,731,57,156
153547,11332,158,121,765,1267,252539,19428,2886,46,702,1258,52,156
68850,8307,1189,165,751,193,117710,13781,1706,62,727,675,45,156
128902,26545,1168,99,835,431,221257,43971,2960,52,785,987,54,156
105304,7263,1073,161,0,0,178724,12084,2314,77,139,1055,47,156
51566,11408,3851,168,0,610,101495,20691,3826,84,0,1040,42,156
230548,9122,1126,225,123,178,392982,14938,2371,120,600,763,58,156
72284,10088,3501,184,330,823,123863,17277,3060,62,434,1117,48,156
202896,13429,0,137,0,0,349387,23482,1082,83,306,698,57,156
33462,6225,284,133,902,13,54405,11063,1839,45,620,961,40,156
161936,11623,0,161,446,654,286923,19853,2392,74,640,845,49,156
123709,8729,1087,274,494,667,219198,14787,1969,148,348,1400,49,156
47416,6184,3356,215,220,0,80401,12714,3516,89,363,526,43,156
39962,18889,0,186,637,128,67438,32736,0,122,577,1143,42,156
266921,21891,4879,215,44,0,482584,34203,4364,85,420,772,58,156
96254,21866,0,161,622,430,158143,37014,1591,75,440,564,49,156
56972,7474,1487,89,62,161,92375,12063,4098,38,446,935,44,156
22250,5030,776,172,521,172,39983,9908,1821,51,542,354,39,156
49866,15153,881,140,0,0,92990,26872,2458,81,380,0,41,156
69982,10786,1714,162,990,0,130591,19251,1751,86,913,128,43,156
78308,8587,0,172,445,0,137332,14725,1595,55,428,360,45,156
379905,31928,6180,161,1404,589,377515,37024,4224,85,1125,971,95,156
60595,5779,86,26,250,0,106152,11211,2451,11,611,517,48,156
118701,3768,2507,127,369,397,212305,6251,3241,25,688,672,46,156
131092,16821,0,146,0,487,244953,29709,1135,65,287,632,50,156
145116,7093,1018,134,0,599,247284,11779,2465,37,496,860,49,156
162287,9695,2367,263,62,662,288255,15463,3106,129,209,849,56,156
433141,35213,6418,276,531,0,667005,55203,4499,114,503,266,69,156
146828,13635,0,20,273,537,289256,23517,1786,0,952,940,48,156
47183,4653,0,162,948,247,82286,6859,1200,44,716,752,43,156
147623,16584,2379,200,256,0,259640,25600,3633,98,304,534,55,156
111690,4062,1237,77,647,0,201218,6371,2384,30,584,456,47,156
77440,18411,924,172,972,0,132615,29686,4160,62,1094,644,47,156
45291,8725,0,149,0,339,80835,15004,1272,57,432,571,41,156
71669,8063,0,221,461,356,126774,13163,1122,76,1214,704,44,156
176669,16839,1442,105,512,782,301281,28371,2682,36,557,1065,57,156
58451,12380,4033,221,0,0,95497,21688,3651,83,309,468,45,156
99700,12367,945,178,139,0,176444,20661,1033,69,146,428,48,156
90601,16393,3039,73,317,0,160034,27961,3341,34,305,532,46,156
126585,5344,3122,114,422,916,218905,9257,4153,36,544,1351,49,156
72706,11243,1228,131,564,0,132948,20435,2341,46,540,496,48,156
173136,20931,2846,200,610,0,295794,35404,4045,83,496,428,50,156
132831,5814,2236,150,62,206,230805,9317,2888,46,447,695,54,156
21446,3437,0,90,59,394,47885,7997,0,28,0,660,32,156
130832,18173,1828,155,0,593,169114,19476,2253,62,587,1328,96,156
105151,26610,1088,101,716,326,184714,42590,2504,85,495,301,49,156
79687,7282,1497,48,0,917,155417,12180,1219,41,4,851,44,156
56877,8872,960,124,384,679,94876,15813,2820,42,503,802,45,156
54631,7277,1000,71,533,275,101042,12423,3919,12,439,1026,43,156
29983,7638,0,178,16,261,51791,14264,1947,69,270,563,40,156
150261,25068,13123,136,623,334,209013,36773,10107,74,720,679,58,156
20663,2966,519,146,495,207,34792,4579,2000,42,711,814,39,156
99306,3625,25,212,0,0,180239,5769,1876,86,218,350,52,156
81130,12835,2012,252,165,61,134290,21865,3000,111,85,826,46,156
27306,6121,3660,114,77,0,48511,10983,4372,61,309,388,39,156
23465,2115,932,106,147,0,45490,4312,4346,41,407,0,37,156
57825,19707,0,228,35,100,100419,35286,925,75,147,929,47,156
51960,5579,1528,164,820,0,103772,9765,1725,53,1136,281,45,156
76355,11190,988,118,93,0,129522,21988,2242,29,390,960,51,156
78089,13249,3602,153,644,132,137206,22372,2592,60,521,327,53,156
67488,9854,0,92,0,0,124278,16663,1363,4,373,414,47,156
102341,20612,1513,124,132,0,173219,36297,2912,74,271,103,49,156
75613,13104,524,155,0,25,132194,22343,2684,68,56,742,47,156
250436,12042,2093,101,329,469,439839,18511,3541,61,165,622,56,156
71992,8668,0,136,531,206,132252,15893,1563,51,934,471,46,156
86172,16699,2110,35,807,255,145465,28273,2571,56,1099,546,50,156
163719,21242,1227,71,845,0,300284,37721,2005,27,1384,373,54,156
187041,15303,60,235,0,447,337756,25230,2978,85,296,687,54,156
124695,9271,2088,170,609,158,213646,16087,2138,49,525,762,51,156
193258,9736,0,71,275,976,366583,16320,3828,30,326,733,54,156
109032,5275,440,123,610,729,187712,9916,1506,69,692,1252,52,156
108190,12222,0,231,8,451,187015,18869,2119,82,392,982,51,156
90960,9362,250,172,0,0,162428,13786,2395,115,684,208,46,156
56944,9533,451,90,68,0,85202,13044,916,51,64,545,52,156
208214,17922,1594,139,238,0,348990,29111,2392,75,1187,180,55,156
174952,12051,2937,7,952,490,342005,20027,2413,19,981,591,51,156
241867,23351,4303,168,241,0,415021,38746,2871,50,307,691,52,156
89896,10341,1936,139,448,69,159473,16742,2453,27,524,873,47,156
230928,35690,5481,87,512,0,257658,37593,3468,43,469,736,73,156
183345,17356,484,26,1218,550,319651,28850,2781,0,798,1288,52,156
9187,2498,369,146,23,559,27203,6677,1435,36,0,737,19,156
97849,7275,2235,86,0,0,175218,13553,1827,65,426,155,46,156
97431,5164,1830,49,543,485,168900,8135,1965,60,406,703,52,156
142272,17256,210,115,896,0,258174,27607,1737,75,775,1000,50,156
200327,21100,2428,165,0,523,370289,33231,1687,130,398,1341,56,156
102188,6738,2521,137,842,0,189374,10162,2277,43,467,184,46,156
56220,5426,4723,175,262,741,88401,8717,3046,118,318,748,48,156
77090,8697,3601,142,0,0,134814,13805,3152,25,10,814,46,156
18721,2564,0,177,53,372,33707,4680,985,61,317,1373,38,156
129343,12360,700,194,567,500,212172,19784,1426,103,540,1350,53,156
44351,4501,1725,183,230,0,74550,8080,1992,86,564,343,44,156
72181,5645,1513,95,430,511,123157,10813,1228,29,843,684,46,156
84961,5844,0,149,845,0,147194,10372,1814,50,820,443,50,156
37715,1609,896,243,345,0,69539,3333,1948,124,206,383,41,156
99013,8851,4093,83,564,704,175585,14000,2951,63,744,1073,51,156
47599,2847,0,89,16,967,70714,4481,1907,10,50,650,50,156
50614,11086,0,57,218,0,91810,18388,895,55,204,192,43,156
35973,8424,2908,115,171,126,65781,15193,2503,70,440,138,42,156
244005,37139,3392,29,282,0,416778,57956,3862,17,326,430,58,156
269723,19281,0,225,881,315,279932,28032,1356,74,721,1084,105,156
22572,7002,1450,108,598,833,48010,13498,2242,20,919,876,32,156
64355,6797,399,111,540,0,119386,13659,1624,18,586,0,42,156
112839,15355,3058,174,357,0,197623,24830,3499,85,657,548,48,156
261132,26941,2554,161,506,0,440515,43325,3372,64,1051,791,57,156
133958,14454,3038,61,108,1364,241707,25314,3028,22,439,1234,50,156
142311,9584,2940,117,338,4,249973,16529,2602,50,201,210,50,156
42870,20059,2439,165,470,0,90514,36436,2219,54,566,425,39,156
259498,15660,2296,181,0,0,438333,24949,2667,113,493,754,57,156
220207,17466,774,96,524,687,404902,31124,1608,30,314,976,51,156
101623,27376,118,211,208,655,177935,48758,939,99,486,741,48,156
47357,3114,0,193,321,800,95999,4467,2487,91,434,729,40,156
121392,7842,0,197,705,385,211455,12734,1557,72,806,565,51,156
178945,15288,2023,219,233,0,314299,24636,3438,69,522,616,52,156
111677,13973,0,115,434,566,200039,23768,3344,76,808,861,49,156
130821,14765,0,114,521,0,229051,25398,2928,45,837,397,51,156
149363,8508,2515,98,0,0,266765,13040,3162,34,86,520,53,156
105722,18863,2721,202,416,1275,172414,30366,3418,85,269,1506,63,156
186922,17638,3144,74,452,488,318139,29573,2705,18,421,1146,58,156
65602,5303,210,159,117,428,128600,9787,2359,68,290,570,45,156
40586,23738,0,71,388,794,72805,42920,985,0,409,1074,42,156
69877,6575,172,175,424,479,113338,11931,1575,70,510,667,47,156
91215,10626,483,77,308,0,149265,19967,1983,104,377,42,50,156
99629,11887,535,114,860,0,173569,20265,2134,13,889,360,48,156
47518,8798,284,155,41,0,81915,16975,1495,77,416,281,44,156
25467,10125,0,211,99,288,54257,19267,2792,64,132,705,38,156
182385,21083,3276,118,677,0,307771,35048,3083,41,562,143,52,156
78210,8015,693,123,384,1296,135580,13078,3531,52,492,1243,46,156
45516,4353,498,255,110,0,85022,8346,1101,88,245,194,41,156
105752,8060,2569,0,224,400,184405,14128,2123,18,284,963,47,156
100716,11228,583,149,183,606,173012,18903,968,42,332,801,48,156
278447,11869,2977,95,528,256,479511,19027,2675,26,506,722,57,156
64497,6210,3078,158,212,756,109909,10851,2832,38,348,934,43,156
109309,22333,6720,134,0,1095,170415,37120,4983,92,618,916,54,156
167533,12778,0,172,220,0,295593,23886,1685,82,714,157,58,156
59856,6750,1761,244,494,0,114852,10453,2691,123,422,92,41,156
62797,15615,0,203,50,0,108568,27971,496,97,186,294,45,156
60208,3277,1632,193,970,0,114613,7311,2069,79,1179,73,40,156
146674,9844,1415,127,0,611,229525,16362,2318,53,12,1338,53,156
272131,13316,5038,74,0,0,482234,21091,4107,26,0,419,54,156
77239,6564,0,117,562,0,141961,11172,1441,19,743,108,48,156
39331,6946,2412,126,373,0,65268,12726,1732,42,342,317,44,156
350076,31678,7904,178,741,816,539755,46015,6091,66,986,870,65,156
282164,31216,1149,297,0,293,486318,51725,2095,124,326,458,56,156
113505,11518,307,105,314,662,196086,20110,2626,65,334,592,51,156
300462,46893,2983,167,777,1199,528364,78175,2689,55,660,2057,59,156
84438,14278,2051,199,431,572,149880,25943,3121,66,282,397,48,156
68528,17317,217,159,282,0,114314,28894,1430,61,890,87,45,156
99510,16648,1146,156,279,0,185461,29991,2180,81,976,804,45,156
