FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
131776,5225,254,235,0,468,231493,8060,1722,113,248,1057,51,156
48924,4887,0,153,171,0,101164,7895,1192,111,856,429,44,156
100049,20534,1048,143,271,0,182539,34588,2068,81,293,165,48,156
80027,14128,730,175,0,268,140524,24089,2389,66,0,1026,47,156
23781,1619,2083,114,28,0,53752,3842,3211,32,200,531,34,156
142404,6585,2151,143,169,237,270139,10817,2581,91,137,1171,48,156
42880,13051,1910,106,32,0,79235,22261,2955,56,123,353,45,156
15484,2473,0,213,0,347,31136,4514,1027,130,162,765,32,156
143354,8207,2160,180,695,0,271677,14481,3080,82,731,737,48,156
48664,6057,1052,115,205,1167,94468,10715,1677,42,477,991,39,157
27988,3254,912,159,19,0,52033,6337,2865,78,156,483,42,157
58357,10674,2860,112,0,0,112655,18864,3335,27,20,641,44,157
103571,6534,1573,209,0,0,178973,10166,3199,51,557,1065,48,157
14428,1571,0,162,449,45,33927,3159,0,79,578,172,29,157
162763,13575,4901,238,443,790,281303,23019,5493,92,360,1200,52,157
9406,659,0,150,311,0,22960,1885,1649,38,469,32,24,157
31814,1894,1761,153,55,1229,62064,5135,2719,45,167,1498,38,158
54854,1989,4557,121,405,998,95104,2999,4302,47,342,797,43,158
92391,18978,1373,159,0,66,163115,31864,3379,113,660,654,49,158
36110,3224,135,183,491,218,67323,5881,2745,52,468,889,42,158
17765,1381,1267,153,259,267,43892,3361,2333,62,419,769,36,158
32066,5009,0,158,0,125,63349,9735,1226,62,75,1122,39,158
21556,2136,899,196,0,338,39111,3966,1784,114,340,534,38,158
22389,2250,3247,164,0,425,46701,4602,3375,74,218,358,40,158
105469,8163,1535,41,251,270,174411,14699,2966,23,662,994,49,158
156005,73076,0,278,0,0,57962,34340,2148,80,669,1315,177,158
39979,10560,1732,183,525,0,69765,16664,2774,82,371,422,41,158
47380,2629,0,211,410,0,86787,3615,710,86,614,0,42,158
87712,5887,1859,167,710,192,158424,9319,2774,64,606,1678,44,158
