FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
76097,7372,402,244,445,930,135769,12081,619,253,535,1421,47,155
208166,13209,236,178,735,53,314051,21712,344,186,352,271,62,155
29125,2954,0,0,611,0,53497,5278,54,0,389,795,40,155
68594,9772,750,250,308,0,119185,15156,590,203,470,588,47,155
73952,12603,927,68,0,1284,147973,21987,859,158,33,1631,46,155
48308,3307,75,288,751,498,86796,5641,145,218,426,1235,42,155
57487,4906,0,29,227,0,106253,8271,76,46,439,415,42,155
14146,3347,0,86,189,196,28265,5892,308,118,153,1046,35,155
28769,10812,163,0,312,562,51888,20003,346,12,155,709,45,155
10991,2551,0,43,542,443,22749,5111,119,83,386,725,30,155
48675,4918,694,272,26,0,85504,7534,560,132,317,388,47,155
49883,4432,180,196,690,0,92786,9052,331,214,336,563,42,155
62931,10343,1074,139,522,354,108810,18053,613,53,579,1024,44,155
59587,4277,27,310,807,243,100696,7597,219,227,783,558,45,155
12364,3081,213,259,586,0,26490,6453,292,239,383,65,26,155
13325,1125,390,118,306,0,34179,3131,371,37,344,807,23,155
371862,24606,0,287,422,841,646274,42054,118,130,488,1372,56,155
14406,5225,406,247,0,826,38344,12130,594,117,0,1536,25,155
16894,2700,0,212,303,97,30478,6182,97,166,298,182,37,155
176874,9279,109,168,223,1029,284883,15054,319,170,150,1230,54,155
10681,4517,384,140,689,186,27667,10857,584,85,700,774,22,155
109876,6285,0,0,329,0,183938,8950,288,95,643,234,55,155
88039,8358,121,0,116,189,180014,14459,246,0,93,448,43,155
84357,6301,340,0,396,781,151851,8701,338,44,181,879,46,155
65407,8753,444,45,369,110,114023,14549,531,49,209,418,45,155
54808,5999,272,257,8,0,106652,9488,507,145,44,38,42,155
106966,12695,0,0,279,0,187923,19786,0,67,286,356,51,155
58094,16467,0,4,0,0,107516,30200,65,0,0,500,42,155
26466,4690,103,133,315,195,45652,8896,200,151,151,647,44,155
38331,1172,302,127,428,0,72996,3299,195,65,291,344,43,155
13655,1833,263,269,166,0,40300,3714,276,170,0,359,25,155
51472,2868,0,291,114,510,92890,4432,171,253,36,1297,43,155
46624,5202,216,326,278,0,93072,10002,295,188,238,397,42,155
71989,29515,220,0,226,0,120559,50814,550,28,123,8,48,155
142507,5989,0,567,0,0,239292,8924,380,455,60,431,51,155
23783,5862,0,142,358,571,51229,10853,0,205,334,1563,37,155
162431,12829,70,128,410,292,275436,19561,670,122,511,754,54,155
31656,2969,195,102,495,126,56416,6592,440,229,534,389,40,155
63042,5863,0,117,908,576,105863,8891,422,79,716,1395,48,155
69397,3962,249,353,208,721,122281,5823,365,267,134,956,47,155
75703,6614,67,111,69,103,110032,12659,337,130,183,826,51,155
136522,8885,0,89,533,0,225440,13784,550,103,487,485,50,155
95766,6122,0,14,0,0,171000,10125,49,31,0,720,50,155
21047,4230,0,41,141,0,35977,8561,0,135,249,0,37,155
86657,5915,16,14,58,308,147967,8084,535,19,134,451,49,155
15130,6747,0,112,43,566,41029,15473,232,46,7,834,23,155
25618,5146,162,77,479,0,55200,9605,399,111,379,0,39,155
35746,2251,0,575,336,382,68608,4216,210,300,324,692,40,155
163891,11454,0,389,0,0,282880,15667,569,182,0,645,55,155
14602,654,0,0,297,0,36087,2574,0,0,199,15,24,155
70028,7617,0,219,0,1030,113367,11350,144,160,84,1105,50,155
53760,10262,0,323,278,0,96788,16492,437,163,241,691,48,155
18751,8161,23,260,226,0,39789,12995,175,236,178,314,38,155
32574,2606,0,14,302,0,53030,4610,366,30,467,0,39,155
51246,5430,512,294,671,447,87427,8543,363,133,366,587,44,155
53695,7919,426,26,269,0,99091,12766,412,57,592,501,44,155
40642,1889,400,167,0,96,62970,4865,1135,104,3,873,43,155
71386,4013,252,87,474,1877,112600,6271,568,92,415,1180,49,155
23566,5498,204,0,8,427,35855,7088,374,0,0,560,48,155
131904,11838,577,221,358,0,219686,18646,499,131,353,264,53,155
30103,8618,679,222,269,0,61352,14496,430,156,318,466,42,155
142560,9894,0,369,457,681,218444,15800,118,245,247,1320,52,155
127448,11475,30,255,0,672,207581,19205,316,139,299,993,50,155
49385,10453,509,244,271,594,90670,16918,527,317,384,705,45,155
221641,16643,0,85,610,0,401154,25607,207,87,331,966,55,155
54427,6968,863,329,43,0,96649,11545,780,285,127,1319,46,156
26370,4559,0,394,351,0,48109,6616,0,234,222,169,42,156
28632,23674,0,118,355,82,50673,41603,110,84,467,283,41,156
29429,8660,145,0,162,108,71791,16687,233,63,437,980,37,156
10481,2305,356,265,378,0,22767,4095,678,124,201,111,26,156
64229,2731,0,322,449,1498,110750,5788,237,321,392,1848,47,156
65304,4460,112,177,370,234,110284,6043,404,122,479,319,44,156
96608,4142,274,170,768,328,153408,7446,561,294,388,1397,50,156
35358,14325,0,161,0,228,72062,27074,126,124,22,649,38,156
37492,3022,581,87,0,0,71563,5707,413,42,93,938,42,156
24615,2452,193,145,256,342,46645,4062,200,135,443,938,39,156
24765,5766,426,106,8,0,53489,8523,478,27,187,1023,41,156
39531,2682,381,199,165,0,78404,4986,680,151,517,613,43,156
21578,2478,17,0,265,563,42716,4507,262,69,330,1056,37,156
137433,11411,0,11,388,0,253560,17910,385,6,411,225,52,156
224114,20740,0,191,297,0,376617,32197,144,250,496,544,56,156
183233,14547,466,340,573,0,346667,23794,662,155,685,332,54,156
37662,3825,0,0,209,905,64343,6032,110,172,212,1715,47,156
57119,6112,159,0,251,0,96555,10187,215,167,140,554,47,156
29493,3905,217,82,214,933,56578,7375,440,109,253,905,41,156
30376,15478,125,0,340,0,67076,28704,213,9,301,524,38,156
48313,1332,457,0,424,0,79535,3174,398,0,513,30,45,156
68856,28365,59,246,269,761,117093,49370,497,260,251,719,46,156
10893,619,0,180,358,151,28489,2375,97,132,181,737,27,156
49623,4493,396,202,531,0,89069,8803,609,150,642,355,45,156
183373,5694,0,235,561,350,327085,8465,316,201,545,875,53,156
169991,14365,441,57,378,1512,264482,23373,365,150,495,775,53,156
21602,2037,0,0,369,2100,38138,3199,136,0,164,3465,38,156
83784,6000,546,595,245,92,148731,10046,425,251,126,804,54,156
169946,26968,250,74,105,558,315321,43538,546,160,354,1506,52,156
16205,1318,0,14,553,0,36624,3393,319,42,621,770,36,156
28107,5217,74,265,116,0,43049,8332,224,97,212,1122,43,156
364870,18938,219,363,215,0,576890,28284,399,197,425,463,63,156
60829,7904,6,139,431,195,100092,11669,197,143,339,1203,50,156
89961,8028,36,272,0,1049,142589,13649,352,188,69,1264,53,156
